estacion_id,nombre_estacion,region,cuenca,tipo_fuente,latitud,longitud,fecha_instalacion
EST-0001,Estación Río Río Coata 1,Puno,Río Coata,Río,-2.97454,-72.51316,2020-02-07
EST-0002,Estación Reservorio Río Ilave 2,Puno,Río Ilave,Reservorio,-4.24387,-79.68577,2024-05-05
EST-0003,Estación Río Río Chancay 3,Lambayeque,Río Chancay,Río,-1.78161,-73.1873,2021-06-19
EST-0004,Estación Río Río Mantaro 4,Junín,Río Mantaro,Río,-14.02332,-74.31223,2023-11-11
EST-0005,Estación Pozo subterráneo Río Coata 5,Puno,Río Coata,Pozo subterráneo,-4.73346,-76.83297,2023-07-14
EST-0006,Estación Planta de tratamiento Río Coata 6,Puno,Río Coata,Planta de tratamiento,-4.37829,-78.84755,2020-12-28
EST-0007,Estación Lago Lago Junín 7,Junín,Lago Junín,Lago,-6.04664,-71.916,2019-03-29
EST-0008,Estación Río Río Majes 8,Arequipa,Río Majes,Río,-11.51696,-75.3836,2023-05-11
EST-0009,Estación Río Río Vilcanota 9,Cusco,Río Vilcanota,Río,-14.02909,-72.86034,2019-09-17
EST-0010,Estación Reservorio Río Rímac 10,Lima,Río Rímac,Reservorio,-5.74536,-77.36418,2023-03-16
EST-0011,Estación Reservorio Río Chancay 11,Lambayeque,Río Chancay,Reservorio,-11.21913,-77.66707,2020-04-24
EST-0012,Estación Lago Río Chira 12,Piura,Río Chira,Lago,-17.87116,-71.38475,2019-10-07
EST-0013,Estación Reservorio Río Chancay 13,Lambayeque,Río Chancay,Reservorio,-4.33724,-75.51766,2022-08-22
EST-0014,Estación Lago Río Nanay 14,Loreto,Río Nanay,Lago,-15.99572,-72.87812,2022-08-01
EST-0015,Estación Reservorio Río Mantaro 15,Junín,Río Mantaro,Reservorio,-6.89243,-74.3249,2022-02-04
EST-0016,Estación Río Río Ilave 16,Puno,Río Ilave,Río,-17.46069,-75.79736,2024-05-19
EST-0017,Estación Planta de tratamiento Río Vilcanota 17,Cusco,Río Vilcanota,Planta de tratamiento,-13.90606,-80.56539,2021-03-28
EST-0018,Estación Río Río Chancay 18,Lambayeque,Río Chancay,Río,-6.41646,-74.28139,2020-07-16
EST-0019,Estación Pozo subterráneo Río Nanay 19,Loreto,Río Nanay,Pozo subterráneo,-10.88823,-71.04334,2020-10-04
EST-0020,Estación Lago Río Vilcanota 20,Cusco,Río Vilcanota,Lago,-5.35871,-75.48035,2019-02-15
EST-0021,Estación Río Río Piura 21,Piura,Río Piura,Río,-15.33454,-72.52636,2021-09-18
EST-0022,Estación Río Lago Junín 22,Junín,Lago Junín,Río,-6.97005,-76.74116,2021-02-01
EST-0023,Estación Lago Río Rímac 23,Lima,Río Rímac,Lago,-1.16679,-69.85188,2021-09-17
EST-0024,Estación Planta de tratamiento Río Piura 24,Piura,Río Piura,Planta de tratamiento,-4.37186,-72.26718,2020-06-15
EST-0025,Estación Río Río Chancay 25,Lambayeque,Río Chancay,Río,-16.31316,-69.92721,2021-06-17
EST-0026,Estación Lago Río Vilcanota 26,Cusco,Río Vilcanota,Lago,-12.64576,-74.00183,2021-12-29
EST-0027,Estación Reservorio Río Vilcanota 27,Cusco,Río Vilcanota,Reservorio,-5.4094,-75.85563,2023-09-10
EST-0028,Estación Pozo subterráneo Río Majes 28,Arequipa,Río Majes,Pozo subterráneo,-6.62768,-80.236,2023-02-23
EST-0029,Estación Río Río Mantaro 29,Junín,Río Mantaro,Río,-12.22743,-79.479,2019-03-25
EST-0030,Estación Pozo subterráneo Río Piura 30,Piura,Río Piura,Pozo subterráneo,-15.01462,-69.64349,2024-06-02
EST-0031,Estación Pozo subterráneo Río Amazonas 31,Loreto,Río Amazonas,Pozo subterráneo,-17.60093,-69.22215,2020-11-24
EST-0032,Estación Reservorio Lago Junín 32,Junín,Lago Junín,Reservorio,-16.55223,-75.16811,2022-09-04
EST-0033,Estación Pozo subterráneo Lago Junín 33,Junín,Lago Junín,Pozo subterráneo,-9.71394,-77.93611,2024-02-19
EST-0034,Estación Río Río Rímac 34,Lima,Río Rímac,Río,-10.31905,-81.02769,2020-12-28
EST-0035,Estación Planta de tratamiento Río Chancay 35,Lambayeque,Río Chancay,Planta de tratamiento,-15.54564,-74.31914,2020-09-23
